group,dataset,model,slicing,type,params,val_acc,mean_exit,paper
comparison,modelnet10,ours_base,radial,SNN,0,0,N/A,Ours
comparison,modelnet10,ours_learnable,fps,SNN,0,0,N/A,Ours
comparison,modelnet10,ours_knn,fps,SNN,0,0,N/A,Ours
comparison,modelnet10,ours_bidir,fps,SNN,0,0,N/A,Ours
comparison,modelnet10,ours_full,fps,SNN,0,0,N/A,Ours
comparison,modelnet10,e3dsnn,radial,SNN,0,0,N/A,E-3DSNN (2412.07360)
comparison,modelnet10,spiking_ssm,radial,SNN,0,0,N/A,SpikingSSMs (2408.14909)
comparison,modelnet10,spt,fps,SNN,0,0,N/A,SPT (2502.15811)
comparison,modelnet10,ann_pointnet,radial,ANN,0,0,N/A,Ours (ANN)
comparison,modelnet10,ann_dgcnn,radial,ANN,0,0,N/A,DGCNN 2019
comparison,modelnet10,ann_pct,radial,ANN,0,0,N/A,PCT 2021
comparison,modelnet10,ann_pointnetpp,radial,ANN,0,0,N/A,PointNet++ 2017
slicing,modelnet10,ours_full,radial,SNN,0,0,N/A,Ours
slicing,modelnet10,ours_full,fps,SNN,0,0,N/A,Ours
slicing,modelnet10,ours_large,radial,SNN,0,0,N/A,Ours
slicing,modelnet10,ours_large,fps,SNN,0,0,N/A,Ours
slicing,modelnet10,ann_pointnet,radial,ANN,0,0,N/A,Ours (ANN)
slicing,modelnet10,ann_pointnet,fps,ANN,0,0,N/A,Ours (ANN)
scaling,modelnet10,ours_base,radial,SNN,0,0,N/A,Ours
scaling,modelnet10,ours_base,fps,SNN,0,0,N/A,Ours
scaling,modelnet10,ours_full,radial,SNN,0,0,N/A,Ours
scaling,modelnet10,ours_full,fps,SNN,0,0,N/A,Ours
scaling,modelnet10,ours_large,fps,SNN,0,0,N/A,Ours
scaling,modelnet10,ours_xl,fps,SNN,0,0,N/A,Ours
scaling,modelnet10,ours_pct_snn,fps,SNN,0,0,N/A,Ours
