group,dataset,model,slicing,type,params,val_acc,mean_exit,paper
comparison,modelnet40,ours_base,radial,SNN,710952,3.12,8.0,Ours
comparison,modelnet40,ours_learnable,fps,SNN,714792,4.69,8.0,Ours
comparison,modelnet40,ours_knn,fps,SNN,720936,3.12,8.0,Ours
comparison,modelnet40,ours_bidir,fps,SNN,1242152,5.47,8.0,Ours
comparison,modelnet40,ours_full,fps,SNN,1248296,3.12,8.0,Ours
comparison,modelnet40,e3dsnn,radial,SNN,110198,0.78,8.0,E-3DSNN (2412.07360)
comparison,modelnet40,spiking_ssm,radial,SNN,236840,3.12,8.0,SpikingSSMs (2408.14909)
comparison,modelnet40,spt,fps,SNN,175918,3.12,8.0,SPT (2502.15811)
scaling,modelnet40,ours_base,radial,SNN,710952,2.5,N/A,Ours
scaling,modelnet40,ours_base,fps,SNN,710952,2.5,N/A,Ours
scaling,modelnet40,ours_full,radial,SNN,1248296,2.5,N/A,Ours
scaling,modelnet40,ours_full,fps,SNN,1248296,2.5,N/A,Ours
scaling,modelnet40,ours_large,fps,SNN,4921384,2.5,N/A,Ours
scaling,modelnet40,ours_xl,fps,SNN,5973032,2.5,N/A,Ours
scaling,modelnet40,ours_pct_snn,fps,SNN,1210664,2.5,N/A,Ours
